env_id,control_effort,timeToGoal,stayedInGoal,precisionOnGoal
148,0.0,NaN,0.0,2.725041151046753
149,0.0,NaN,0.0,2.831331968307495
150,0.0,NaN,0.0,2.9503166675567627
151,0.0,NaN,0.0,3.0769741535186768
152,0.0,NaN,0.0,3.0769705772399902
153,0.0,NaN,0.0,2.950317859649658
154,0.0,NaN,0.0,2.8313326835632324
155,0.0,NaN,0.0,2.7250423431396484
156,0.0,NaN,0.0,2.636232376098633
157,0.0,NaN,0.0,2.5692083835601807
158,0.0,NaN,0.0,2.527458429336548
159,0.0,NaN,0.0,2.5132739543914795
160,0.0,NaN,0.0,2.0943949222564697
161,0.0,NaN,0.0,2.119537115097046
162,0.0,NaN,0.0,2.1928648948669434
163,0.0,NaN,0.0,2.3087096214294434
164,0.0,NaN,0.0,2.4593048095703125
165,0.0,NaN,0.0,2.6362318992614746
166,0.0,NaN,0.0,2.8313326835632324
167,0.0,NaN,0.0,3.037017822265625
168,0.0,NaN,0.0,3.037010908126831
169,0.0,NaN,0.0,2.8313326835632324
170,0.0,NaN,0.0,2.6362318992614746
171,0.0,NaN,0.0,2.4593043327331543
172,0.0,NaN,0.0,2.3087098598480225
173,0.0,NaN,0.0,2.192864179611206
174,0.0,NaN,0.0,2.119537353515625
175,0.0,NaN,0.0,2.094395160675049
176,0.0,NaN,0.0,1.67551589012146
177,0.0,NaN,0.0,1.7145277261734009
178,0.0,NaN,0.0,1.8262354135513306
179,0.0,NaN,0.0,1.9975370168685913
180,0.0,NaN,0.0,2.2131295204162598
181,0.0,NaN,0.0,2.4593043327331543
182,0.0,NaN,0.0,2.7250418663024902
183,0.0,NaN,0.0,3.001586437225342
184,0.0,NaN,0.0,3.0015900135040283
185,0.0,NaN,0.0,2.7250406742095947
186,0.0,NaN,0.0,2.4593048095703125
187,0.0,NaN,0.0,2.2131292819976807
188,0.0,NaN,0.0,1.9975370168685913
189,0.0,NaN,0.0,1.8262356519699097
190,0.0,NaN,0.0,1.7145277261734009
191,0.0,NaN,0.0,1.67551589012146
192,0.0,NaN,0.0,1.2566368579864502
193,0.0,NaN,0.0,1.3156036138534546
194,0.0,NaN,0.0,1.4782038927078247
195,0.0,NaN,0.0,1.7145276069641113
196,0.0,NaN,0.0,1.99753737449646
197,0.0,NaN,0.0,2.3087098598480225
198,0.0,NaN,0.0,2.636230945587158
199,0.0,NaN,0.0,2.9722583293914795
200,0.0,NaN,0.0,2.972256898880005
201,0.0,NaN,0.0,2.63623046875
202,0.0,NaN,0.0,2.3087098598480225
203,0.0,NaN,0.0,1.9975370168685913
204,0.0,NaN,0.0,1.71452796459198
205,0.0,NaN,0.0,1.4782034158706665
206,0.0,NaN,0.0,1.315603494644165
207,0.0,NaN,0.0,1.2566368579864502
208,0.0,NaN,0.0,0.8377578854560852
209,0.0,NaN,0.0,0.9310663938522339
210,0.0,NaN,0.0,1.1669061183929443
211,0.0,NaN,0.0,1.4782038927078247
212,0.0,NaN,0.0,1.8262354135513306
213,0.0,NaN,0.0,2.1928648948669434
214,0.0,NaN,0.0,2.5692079067230225
215,0.0,NaN,0.0,2.950317859649658
216,0.0,NaN,0.0,2.9503204822540283
217,0.0,NaN,0.0,2.5692083835601807
218,0.0,NaN,0.0,2.192864179611206
219,0.0,NaN,0.0,1.8262354135513306
220,0.0,NaN,0.0,1.4782037734985352
221,0.0,NaN,0.0,1.1669061183929443
222,0.0,NaN,0.0,0.9310663342475891
223,0.0,NaN,0.0,0.8377578258514404
224,0.0,NaN,0.0,0.41887879371643066
225,0.0,NaN,0.0,0.5902020931243896
226,0.0,NaN,0.0,0.9310665130615234
227,0.0,NaN,0.0,1.315603494644165
228,0.0,NaN,0.0,1.7145280838012695
229,0.0,NaN,0.0,2.119537115097046
230,0.0,NaN,0.0,2.5274579524993896
231,0.0,NaN,0.0,2.9367473125457764
232,0.0,NaN,0.0,2.9367449283599854
233,0.0,NaN,0.0,2.5274579524993896
234,0.0,NaN,0.0,2.119537353515625
235,0.0,NaN,0.0,1.7145276069641113
236,0.0,NaN,0.0,1.3156036138534546
237,0.0,NaN,0.0,0.9310664534568787
238,0.0,NaN,0.0,0.5902022123336792
239,0.0,NaN,0.0,0.4188789427280426
240,0.0,NaN,0.0,2.316421188197637e-07
241,0.0,NaN,0.0,0.41887909173965454
242,0.0,NaN,0.0,0.8377580046653748
243,0.0,NaN,0.0,1.2566369771957397
244,0.0,NaN,0.0,1.675516128540039
245,0.0,NaN,0.0,2.094395160675049
246,0.0,NaN,0.0,2.5132741928100586
247,0.0,NaN,0.0,2.932152509689331
248,0.0,NaN,0.0,2.9321513175964355
249,0.0,NaN,0.0,2.5132739543914795
250,0.0,NaN,0.0,2.0943949222564697
251,0.0,NaN,0.0,1.67551589012146
252,0.0,NaN,0.0,1.2566372156143188
253,0.0,NaN,0.0,0.8377578258514404
254,0.0,NaN,0.0,0.41887882351875305
255,0.0,NaN,0.0,2.05345500603471e-07
256,0.0,NaN,0.0,0.41887906193733215
257,0.0,NaN,0.0,0.5902023315429688
258,0.0,NaN,0.0,0.931066632270813
259,0.0,NaN,0.0,1.3156036138534546
260,0.0,NaN,0.0,1.7145280838012695
261,0.0,NaN,0.0,2.119537591934204
262,0.0,NaN,0.0,2.527458429336548
263,0.0,NaN,0.0,2.9367449283599854
264,0.0,NaN,0.0,2.9367449283599854
265,0.0,NaN,0.0,2.5274577140808105
266,0.0,NaN,0.0,2.119537830352783
267,0.0,NaN,0.0,1.7145277261734009
268,0.0,NaN,0.0,1.3156038522720337
269,0.0,NaN,0.0,0.9310664534568787
270,0.0,NaN,0.0,0.5902021527290344
271,0.0,NaN,0.0,0.41887912154197693
